timestamp,question_id,model,model_alias,total_duration_s,generation_duration_s,output_tokens,tokens_per_sec,peak_vram_gb,completion_status,evidence_file
2026-09-14T10:52:15,Q01,Phi 4 Mini Reasoning,PHI,14.413,9.218,700,75.94,3.90,Completed,data/responses/Q01_PHI.json
2026-09-14T15:25:16,Q01,Phi 4 Mini Reasoning,PHI,42.892,24.722,97,3.92,0.0,Completed,/home/ratanakvichea/Benchmark_AI/data/responses/Q01_PHI.json
2026-09-15 12:20:31,Q01,phi4-mini-reasoning,PHI,11.467,9.202,700,76.07,3997.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_PHI.json
2026-09-15 12:22:08,Q02,phi4-mini-reasoning,PHI,12.655,8.358,627,75.02,3997.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q02_PHI.json
2026-09-15 12:23:39,Q03,phi4-mini-reasoning,PHI,18.009,13.73,1024,74.58,3997.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_PHI.json
2026-09-15 12:25:44,Q04,phi4-mini-reasoning,PHI,20.224,13.553,1024,75.56,3997.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q04_PHI.json
2026-09-15 12:30:10,Q05,phi4-mini-reasoning,PHI,20.762,13.751,1024,74.47,3997.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_PHI.json
2026-09-15 12:31:18,Q05,phi4-mini-reasoning,PHI,15.861,13.697,1024,74.76,3998.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_PHI.json
2026-09-15 12:33:33,Q05,phi4-mini-reasoning,PHI,17.843,13.58,1024,75.41,3997.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_PHI.json
2026-09-16 10:06:10,Q01,deepseek-r1:7b,DSR1,12.343,10.084,260,25.78,4887.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_DSR1.json
2026-09-16 10:07:19,Q02,deepseek-r1:7b,DSR1,13.296,8.857,197,22.24,4887.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q02_DSR1.json
2026-09-16 10:16:43,Q01,deepseek-r1:7b,DSR1,11.716,9.503,260,27.36,4887.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_DSR1.json
2026-09-16 10:20:50,Q02,deepseek-r1:7b,DSR1,18.627,8.554,197,23.03,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q02_DSR1.json
2026-09-16 10:22:11,Q03,deepseek-r1:7b,DSR1,35.816,31.616,1024,32.39,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_DSR1.json
2026-09-16 10:23:54,Q04,deepseek-r1:7b,DSR1,27.231,19.193,571,29.75,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q04_DSR1.json
2026-09-16 10:25:39,Q05,deepseek-r1:7b,DSR1,39.475,31.704,1024,32.3,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_DSR1.json
2026-09-16 10:29:59,Q01,qwen3:8b,QWEN,36.589,28.563,863,30.21,5475.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_QWEN.json
2026-09-16 10:31:42,Q02,qwen3:8b,QWEN,37.941,33.433,1024,30.63,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q02_QWEN.json
2026-09-16 10:33:37,Q03,qwen3:8b,QWEN,41.863,33.586,1024,30.49,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_QWEN.json
2026-09-16 10:35:30,Q04,qwen3:8b,QWEN,41.651,33.51,1024,30.56,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q04_QWEN.json
2026-09-16 10:37:05,Q05,qwen3:8b,QWEN,37.695,33.082,1024,30.95,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_QWEN.json
2026-09-16 11:07:39,Q06,phi4-mini-reasoning,PHI,24.739,17.896,662,36.99,3731.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q06_PHI.json
2026-09-16 11:08:42,Q07,phi4-mini-reasoning,PHI,29.217,27.057,1024,37.85,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q07_PHI.json
2026-09-16 11:10:10,Q07,phi4-mini-reasoning,PHI,33.518,26.882,1024,38.09,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q07_PHI.json
2026-09-16 11:11:37,Q08,phi4-mini-reasoning,PHI,31.611,27.301,1024,37.51,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q08_PHI.json
2026-09-16 11:13:20,Q09,phi4-mini-reasoning,PHI,30.733,26.405,1024,38.78,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q09_PHI.json
2026-09-16 11:20:03,Q10,phi4-mini-reasoning,PHI,32.633,25.694,1024,39.85,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q10_PHI.json
2026-09-16 11:22:53,Q06,deepseek-r1:7b,DSR1,13.25,9.038,217,24.01,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q06_DSR1.json
2026-09-16 11:23:56,Q07,deepseek-r1:7b,DSR1,31.621,24.053,742,30.85,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q07_DSR1.json
2026-09-16 11:24:59,Q08,deepseek-r1:7b,DSR1,22.279,14.8,412,27.84,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q08_DSR1.json
2026-09-16 11:26:28,Q09,deepseek-r1:7b,DSR1,25.206,21.076,652,30.94,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q09_DSR1.json
2026-09-16 11:27:36,Q10,deepseek-r1:7b,DSR1,35.986,31.789,1024,32.21,4645.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q10_DSR1.json
2026-09-16 11:30:23,Q06,qwen3:8b,QWEN,40.401,31.734,995,31.35,5475.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q06_QWEN.json
2026-09-16 11:31:23,Q07,qwen3:8b,QWEN,28.545,23.701,716,30.21,5475.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q07_QWEN.json
2026-09-16 11:32:29,Q08,qwen3:8b,QWEN,36.968,32.412,1024,31.59,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q08_QWEN.json
2026-09-16 11:33:56,Q09,qwen3:8b,QWEN,41.717,33.281,1024,30.77,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q09_QWEN.json
2026-09-16 11:35:11,Q10,qwen3:8b,QWEN,41.254,33.156,1024,30.88,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q10_QWEN.json
2026-09-16 11:36:45,Q01,qwen3:8b,QWEN,32.939,28.401,863,30.39,5475.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_QWEN.json
2026-09-16 11:39:17,Q02,qwen3:8b,QWEN,41.907,33.498,1024,30.57,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q02_QWEN.json
2026-09-16 11:40:27,Q03,qwen3:8b,QWEN,41.31,33.245,1024,30.8,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_QWEN.json
2026-09-16 11:41:41,Q04,qwen3:8b,QWEN,37.544,33.053,1024,30.98,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q04_QWEN.json
2026-09-16 11:42:45,Q05,qwen3:8b,QWEN,37.811,33.269,1024,30.78,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_QWEN.json
2026-09-16 11:43:48,Q01,deepseek-r1:7b,DSR1,18.13,10.423,260,24.94,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_DSR1.json
2026-09-16 11:44:32,Q02,deepseek-r1:7b,DSR1,15.942,8.493,197,23.2,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q02_DSR1.json
2026-09-16 11:45:34,Q03,deepseek-r1:7b,DSR1,36.115,31.943,1024,32.06,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_DSR1.json
2026-09-16 11:46:39,Q04,deepseek-r1:7b,DSR1,23.051,18.898,571,30.21,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q04_DSR1.json
2026-09-16 11:47:50,Q05,deepseek-r1:7b,DSR1,35.292,31.119,1024,32.91,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_DSR1.json
2026-09-16 11:49:08,Q01,phi4-mini-reasoning,PHI,25.466,18.619,700,37.6,3731.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q01_PHI.json
2026-09-16 11:49:55,Q02,phi4-mini-reasoning,PHI,23.682,17.302,627,36.24,3731.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q02_PHI.json
2026-09-16 11:50:51,Q03,phi4-mini-reasoning,PHI,30.957,26.738,1024,38.3,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q03_PHI.json
2026-09-16 11:52:11,Q04,phi4-mini-reasoning,PHI,31.045,26.793,1024,38.22,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q04_PHI.json
2026-09-16 11:53:17,Q05,phi4-mini-reasoning,PHI,30.627,26.364,1024,38.84,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q05_PHI.json
2026-09-16 11:59:00,Q06,phi4-mini-reasoning,PHI,23.833,16.919,662,39.13,3731.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q06_PHI.json
2026-09-16 12:15:40,Q11,phi4-mini-reasoning,PHI,34.55,27.591,1024,37.11,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q11_PHI.json
2026-09-16 12:17:37,Q12,phi4-mini-reasoning,PHI,26.28,22.031,792,35.95,3731.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q12_PHI.json
2026-09-16 12:19:11,Q13,phi4-mini-reasoning,PHI,34.47,27.48,1024,37.26,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q13_PHI.json
2026-09-16 12:21:22,Q14,phi4-mini-reasoning,PHI,34.853,28.275,1024,36.22,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q14_PHI.json
2026-09-16 12:22:27,Q15,phi4-mini-reasoning,PHI,32.491,28.245,1024,36.25,3731.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q15_PHI.json
2026-09-16 12:23:45,Q11,deepseek-r1:7b,DSR1,40.8,32.723,1024,31.29,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q11_DSR1.json
2026-09-16 12:24:46,Q12,deepseek-r1:7b,DSR1,27.274,19.15,540,28.2,4643.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q12_DSR1.json
2026-09-16 12:25:52,Q13,deepseek-r1:7b,DSR1,37.487,33.022,1024,31.01,4645.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q13_DSR1.json
2026-09-16 12:27:01,Q14,deepseek-r1:7b,DSR1,37.076,32.579,1024,31.43,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q14_DSR1.json
2026-09-16 12:28:17,Q15,deepseek-r1:7b,DSR1,37.737,33.249,1024,30.8,4643.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q15_DSR1.json
2026-09-16 12:29:41,Q11,qwen3:8b,QWEN,42.369,33.698,1024,30.39,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q11_QWEN.json
2026-09-16 12:31:05,Q12,qwen3:8b,QWEN,35.694,31.201,907,29.07,5475.0,Completed,C:\Users\User\Downloads\AI_Project\data\responses\Q12_QWEN.json
2026-09-16 12:32:33,Q13,qwen3:8b,QWEN,39.133,34.57,1024,29.62,5477.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q13_QWEN.json
2026-09-16 12:34:20,Q14,qwen3:8b,QWEN,43.511,34.814,1024,29.41,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q14_QWEN.json
2026-09-16 12:35:54,Q15,qwen3:8b,QWEN,43.339,35.213,1024,29.08,5475.0,length,C:\Users\User\Downloads\AI_Project\data\responses\Q15_QWEN.json
